,Name,Year,Director,Budget,Revenue,Genre 1,Duration,rotten_score,imdb_score
0,"When Marnie Was There
       (2014)",2014,Hiromasa Yonebayashi,$1150000000.00,$34949567.00,Drama,1h 43m,92.0,7.6
1,"The Tale of The Princess Kaguya
       (2013)",2013,Isao Takahata,$49300000.00,$24366656.00,Drama,2h 17m,100.0,8.0
2,"The Wind Rises
       (2013)",2013,Hayao Miyazaki,$30000000.00,$117932401.00,Drama,2h 6m,88.0,7.8
3,"From Up on Poppy Hill
       (2011)",2011,Goro Miyazaki,$22000000.00,$61037844.00,Drama,1h 31m,88.0,7.4
4,"The Secret World of Arrietty
       (2010)",2010,Hiromasa Yonebayashi,$23000000.00,$149480483.00,Fantasy,1h 34m,94.0,7.6
5,"Ponyo
       (2008)",2008,Hayao Miyazaki,$34000000.00,$202404009.00,Fantasy,1h 40m,91.0,7.6
6,"Ocean Waves
       (1994)",1994,Tomomi Mochizuki,$5000000.00,$100000.00,Drama,1h 12m,89.0,6.6
7,"Tales from Earthsea
       (2006)",2006,Goro Miyazaki,$22000000.00,$68625104.00,Fantasy,1h 55m,38.0,6.3
8,"Only Yesterday
       (1991)",1991,Isao Takahata,$2500000.00,$473110.00,Drama,1h 59m,100.0,7.6
9,"Spirited Away
       (2001)",2001,Hayao Miyazaki,$19000000.00,$274925095.00,Family,2h 5m,96.0,8.6
10,"My Neighbors the Yamadas
       (1999)",1999,Isao Takahata,$20500000.00,$167000000.00,Family,1h 44m,78.0,7.1
11,"Whisper of the Heart
       (1995)",1995,Yoshifumi Kondo,$7000000.00,$34900000.00,Drama,1h 51m,95.0,7.8
12,"Grave of the Fireflies
       (1988)",1988,Isao Takahata,$3700000.00,$516962.00,Drama,1h 29m,100.0,8.5
13,"My Neighbor Totoro
       (1988)",1988,Hayao Miyazaki,$3700000.00,$41000000.00,Fantasy,1h 26m,93.0,8.1
14,"Princess Mononoke
       (1997)",1997,Hayao Miyazaki,$23500000.00,$169000000.00,Adventure,2h 14m,93.0,8.3
15,"Howl's Moving Castle
       (2004)",2004,Hayao Miyazaki,$24000000.00,$236049757.00,Fantasy,1h 59m,87.0,8.2
16,"Castle in the Sky
       (1986)",1986,Hayao Miyazaki,$3000000.00,$5228752.00,Adventure,2h 5m,96.0,8.0
17,"Kiki's Delivery Service
       (1989)",1989,Hayao Miyazaki,$6900000.00,$4493017.00,Family,1h 43m,98.0,7.8
18,Pom Poko,1994,Isao Takahata,$12000000.00,$4470000000.00,Adventure,1h 59m,86.0,7.3
19,Porco Rosso,1992,Hayao Miyazaki,$9200000.00,$34100000.00,Family,1h 33m,96.0,7.7
20,The Cat Returns,2002,Hiroyuki Morita,$20000000.00,$54016370.00,Adventure,1h 15m,88.0,7.1
21,Nausicaä of the Valley of the Wind,1984,Hayao Miyazaki,$1000000.00,$3301446.00,Adventure,1h 57m,90.0,8.0
22,The Boy and the Heron,2023,Hayao Miyazaki,$100000000.00,$167000000.00,Fantasy,2h 4m,97.0,7.6
